,Month,Artist,Artist ID,Song ID,Song Name,Song Popularity,Album Name,Album Release Date,Genre 1,Genre 2,Genre 3,Genre 4,Followers,Artist Popularity,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
0,1,Post Malone,246dkjvS1zLTtiykXe5h60,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,84,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,dfw rap,melodic rap,rap,N/A,32142428,93,0.556,0.76,158040,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913
1,1,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,84,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,melodic rap,pop rap,trap,N/A,1147652,84,0.556,0.76,158040,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913
2,1,Post Malone,246dkjvS1zLTtiykXe5h60,6MWtB6iiXyIwun0YzU6DFP,Wow.,8,Wow.,2018-12-24,dfw rap,melodic rap,rap,N/A,32142428,93,0.163,0.833,149520,0.539,2.1e-06,0.101,-7.399,0,0.178,99.947,4,0.385
3,1,Meek Mill,20sxb77xiYeusSH8cVdatc,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),82,Championships,2018-11-30,hip hop,philly rap,pop rap,rap,4963194,81,0.259,0.889,180522,0.496,0.0,0.252,-6.365,0,0.0905,86.003,4,0.544
4,1,Drake,3TVXtAsR1Inumwj472S9r4,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),82,Championships,2018-11-30,canadian hip hop,canadian pop,hip hop,pop rap,54381251,98,0.259,0.889,180522,0.496,0.0,0.252,-6.365,0,0.0905,86.003,4,0.544
5,1,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,86,ASTROWORLD,2018-08-03,rap,slap house,N/A,N/A,16091497,94,0.00513,0.834,312820,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446
6,1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2rPE9A1vEgShuZxxzR2tZH,"thank u, next",23,"thank u, next",2018-11-03,pop,post-teen pop,N/A,N/A,61193334,95,0.28,0.724,207333,0.647,0.0,0.102,-5.642,1,0.0658,106.96,4,0.435
7,1,Lil Baby,5f7VJjfbwm532GiveGC0ZK,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),82,Drip Harder,2018-10-05,atl hip hop,atl trap,rap,trap,6771753,93,0.0852,0.897,145543,0.662,0.0,0.534,-6.903,0,0.292,112.511,4,0.389
8,1,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),82,Drip Harder,2018-10-05,atl hip hop,melodic rap,rap,trap,3059806,89,0.0852,0.897,145543,0.662,0.0,0.534,-6.903,0,0.292,112.511,4,0.389
9,1,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,Dying to Live,2018-12-14,florida rap,hip hop,melodic rap,miami hip hop,6912157,83,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504
10,1,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,Dying to Live,2018-12-14,atl hip hop,hip hop,pop rap,rap,2005891,83,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504
11,1,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,Dying to Live,2018-12-14,rap,slap house,N/A,N/A,16091497,94,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504
12,1,Halsey,26VFTg2z8YR0cCuwLzESi2,5p7ujcrUXASCNwRaWNHR1C,Without Me,82,Without Me,2018-10-04,dance pop,electropop,etherpop,indie poptimism,14605967,89,0.297,0.752,201661,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,0.533
13,1,Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,79,MUDBOY,2018-10-05,rap,trap,underground hip hop,vapor trap,1087298,70,0.194,0.729,183907,0.625,0.00986,0.248,-5.266,1,0.0315,146.034,4,0.261
14,1,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,69,Leave Me Alone,2018-09-04,melodic rap,pop rap,rap,trap,858651,68,0.107,0.792,195637,0.743,0.0,0.183,-2.806,1,0.0851,150.024,4,0.742
15,1,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,Goodbye & Good Riddance,2018-12-10,chicago rap,melodic rap,N/A,N/A,16961776,96,0.349,0.511,239836,0.566,0.0,0.34,-7.23,0,0.2,83.903,4,0.218
16,1,21 Savage,1URnnhqYAYcrqrcwql10ft,2t8yVaLvJ0RenpXUIAC52d,a lot,79,i am > i was,2018-12-21,atl hip hop,rap,trap,N/A,9469803,87,0.0395,0.837,288624,0.636,0.00125,0.342,-7.643,1,0.086,145.972,4,0.274
17,1,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,70,Evil Genius,2018-12-07,atl hip hop,dirty south rap,gangster rap,hip hop,3787963,83,0.00381,0.8,203161,0.578,0.0,0.367,-5.144,0,0.0485,143.01,4,0.367
18,1,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,70,Evil Genius,2018-12-07,dance pop,pop,post-teen pop,N/A,29854394,93,0.00381,0.8,203161,0.578,0.0,0.367,-5.144,0,0.0485,143.01,4,0.367
19,1,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,70,Evil Genius,2018-12-07,florida rap,hip hop,melodic rap,miami hip hop,6912157,83,0.00381,0.8,203161,0.578,0.0,0.367,-5.144,0,0.0485,143.01,4,0.367
20,1,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,76,Hoodie SZN,2018-12-21,melodic rap,pop rap,rap,trap,5627020,86,0.407,0.791,179449,0.587,0.0,0.148,-5.075,0,0.0413,96.057,4,0.536
21,1,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,3ee8Jmje8o58CHK66QrVC2,SAD!,86,?,2018-03-16,emo rap,miami hip hop,N/A,N/A,26702083,92,0.258,0.74,166606,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473
22,1,21 Savage,1URnnhqYAYcrqrcwql10ft,2FUNBaa5DwItJtYEBgAblU,monster,64,i am > i was,2018-12-21,atl hip hop,rap,trap,N/A,9469803,87,0.158,0.89,233040,0.607,0.000228,0.118,-6.916,0,0.124,134.022,4,0.224
23,1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0todbbT9g5uQGbeFCiBf2F,imagine,0,imagine,2018-12-14,pop,post-teen pop,N/A,N/A,61193334,95,0.374,0.714,212293,0.474,0.0,0.106,-4.993,1,0.039,62.484,3,0.376
24,1,Marshmello,64KEffDW9EtZ1y2vBYgq8T,2dpaYNEQHiRxtZbfNsse99,Happier,85,Happier,2018-08-17,brostep,edm,pop,pop dance,30217338,88,0.191,0.687,214290,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671
25,1,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,2dpaYNEQHiRxtZbfNsse99,Happier,85,Happier,2018-08-17,metropopolis,modern rock,pop,pop rock,4706087,80,0.191,0.687,214290,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671
26,1,Post Malone,246dkjvS1zLTtiykXe5h60,7dt6x5M1jzdTEt8oCbisTK,Better Now,84,beerbongs & bentleys,2018-04-27,dfw rap,melodic rap,rap,N/A,32142428,93,0.331,0.68,231267,0.578,0.0,0.135,-5.804,1,0.04,145.038,4,0.341
27,1,Cardi B,4kYSro6naA4h99UJvo89HB,2GGMabyHXnJmjY6CXhhB2e,Money,79,Money,2018-10-23,pop,pop rap,post-teen pop,rap,15745947,90,0.00534,0.95,183527,0.59,0.0,0.11,-6.508,0,0.29,130.003,4,0.219
28,1,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),72,SKINS,2018-12-07,emo rap,miami hip hop,N/A,N/A,26702083,92,0.653,0.735,157777,0.525,0.918,0.101,-2.939,0,0.0441,160.147,4,0.369
29,1,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0jAfdqv18goRTUxm3ilRjb,Startender (feat. Offset and Tyga),66,Hoodie SZN,2018-12-21,melodic rap,pop rap,rap,trap,5627020,86,0.0235,0.736,192779,0.622,0.0,0.151,-4.653,0,0.133,191.971,4,0.506
30,1,Tyga,5LHRHt1k9lMyONurDHEdrp,0jAfdqv18goRTUxm3ilRjb,Startender (feat. Offset and Tyga),66,Hoodie SZN,2018-12-21,dance pop,hip hop,pop rap,rap,6198201,86,0.0235,0.736,192779,0.622,0.0,0.151,-4.653,0,0.133,191.971,4,0.506
31,1,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,0jAfdqv18goRTUxm3ilRjb,Startender (feat. Offset and Tyga),66,Hoodie SZN,2018-12-21,atl hip hop,hip hop,pop rap,rap,2005891,83,0.0235,0.736,192779,0.622,0.0,0.151,-4.653,0,0.133,191.971,4,0.506
32,1,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,1rqqCSm0Qe4I9rUvWncaom,High Hopes,83,Pray for the Wicked,2018-06-22,baroque pop,emo,modern rock,N/A,10626824,83,0.193,0.579,190947,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681
33,1,Khalid,6LuN9FCkKOj5PcnpouEgny,6zeeWid2sgw4lap2jV61PZ,Better,77,Suncity,2018-10-18,alternative r&b,pop,N/A,N/A,13719482,92,0.0765,0.596,229320,0.552,0.334,0.104,-10.278,0,0.097,97.949,4,0.112
34,1,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,0JP9xo3adEtGSdUEISiszL,Moonlight,85,?,2018-03-16,emo rap,miami hip hop,N/A,N/A,26702083,92,0.556,0.921,135090,0.537,0.00404,0.102,-5.723,0,0.0804,128.009,4,0.711
35,1,Khalid,6LuN9FCkKOj5PcnpouEgny,5kfNriitmkNE8mUbZ7gbq8,Saturday Nights,74,Suncity,2018-10-18,alternative r&b,pop,N/A,N/A,13719482,92,0.606,0.551,210667,0.44,3.02e-05,0.11,-8.559,1,0.0985,167.923,4,0.341
36,1,Drake,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct,Nonstop,79,Scorpion,2018-06-29,canadian hip hop,canadian pop,hip hop,pop rap,54381251,98,0.0165,0.912,238614,0.412,0.0126,0.104,-8.074,1,0.123,154.983,4,0.423
