,Month,ID,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
0,1,0nbXyq5TXYPCO7pr3N8S4I,0.104,0.896,196653,0.586,0,0.79,-6.687,0,0.0559,116.971,4,0.642
1,1,0sf12qNH5qcw8qpgymFOqD,0.00147,0.513,201573,0.796,0.000209,0.0938,-4.075,1,0.0629,171.017,4,0.345
2,1,3Dv1eDb0MEgF93GpLXlucZ,0.256,0.787,237893,0.673,3.57E-06,0.0904,-4.577,0,0.158,110.962,4,0.786
3,1,22LAwLoDA5b4AaGSkg6bKW,0.207,0.774,162547,0.554,0,0.132,-7.909,1,0.0383,99.034,4,0.349
4,1,4umIPjkehX1r7uhmGvXiSV,0.3,0.806,212867,0.546,0,0.102,-6.637,1,0.0575,147.986,4,0.874
5,1,5yY9lUy8nbvjM1Uyo1Uqoc,0.0706,0.676,237735,0.609,0,0.152,-5.831,0,0.481,142.037,4,0.508
6,1,5raTDhlbxFDnpn89bxArdH,0.0582,0.719,212354,0.611,0,0.155,-5.01,0,0.0403,129.962,4,0.489
7,1,2kJu14V7hbZw3I4K8L8SXb,0.00146,0.676,193531,0.815,0.00041,0.275,-4.294,1,0.0625,117.973,4,0.796
8,1,696DnlkuDOXcMAnKlTgXXK,0.0522,0.621,163636,0.601,0,0.46,-5.616,0,0.148,116.735,5,0.457
9,1,07KXEDMj78x68D884wgVEm,0.269,0.831,220487,0.499,0,0.3,-8.442,0,0.114,97.956,4,0.511
10,1,7KSSdFCBHCfq4KPzz78ghk,0.0611,0.788,177314,0.436,0,0.0979,-9.435,1,0.364,129.847,4,0.341
11,1,6WrI0LAC5M1Rw2MnX2ZvEg,0.0125,0.794,183290,0.793,0,0.0952,-4.521,0,0.0842,123.941,4,0.677
12,1,6NfrH0ANGmgBXyxgV2PeXt,0.0861,0.685,163084,0.848,7.14E-06,0.0783,-4.561,0,0.0858,179.87,4,0.761
13,1,3Q6F8RByyhRTJpRtZLY3cg,0.017,0.923,139741,0.604,0,0.272,-6.671,0,0.245,145.062,4,0.826
14,1,38RIEav39FGi86jppxO0du,0.267,0.85,210607,0.536,3.89E-05,0.0996,-5.161,1,0.0599,96.029,4,0.505
15,1,41wtwzCZkXwpnakmwJ239F,0.402,0.9,170972,0.603,4.81E-06,0.134,-5.313,1,0.0646,129.928,4,0.824
16,1,21jGcNKet2qwijlDFuPiPb,0.192,0.695,215280,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553
17,1,4TnjEaWOeW0eKTKIEvJyCa,0.123,0.785,159382,0.431,0,0.0887,-8.756,0,0.0364,127.085,4,0.236
18,1,4ejyZ4uJEXUURcgKp1kP8v,0.0938,0.663,361947,0.567,0.00978,0.124,-5.941,0,0.0309,108.959,4,0.139
19,1,02RCbjb9czvQKNGBmEmWob,0.0177,0.883,183011,0.599,0,0.179,-5.551,1,0.248,142.976,4,0.413
20,1,1rgnBhdG2JDFTbYkYRZAku,0.688,0.825,209755,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54
21,1,7FIWs0pqAYbP91WWM0vlTQ,0.145,0.808,210800,0.745,0,0.292,-5.26,0,0.342,165.995,4,0.829
22,1,2n7ohqg1s68ToAHh4u9mcW,0.0363,0.886,192024,0.672,8.78E-06,0.101,-4.394,1,0.188,91.976,4,0.526
23,1,69vlMrzHwATKzupwNcUPyK,0.0326,0.744,206420,0.868,0,0.0822,-4.524,1,0.047,93.037,4,0.586
24,1,3jjujdWJ72nww5eGnfs2E7,0.0237,0.676,207133,0.771,7.00E-06,0.102,-3.675,1,0.0483,99.048,4,0.569
25,1,1Cv1YLb4q0RzL6pybtaMLo,0.183,0.878,158571,0.525,0,0.0714,-6.832,1,0.0578,112.022,4,0.694
26,1,3QzAOrNlsabgbMwlZt7TAY,0.392,0.809,180435,0.545,0,0.151,-6.678,1,0.0735,97.008,4,0.244
27,1,74fV8TuLZKVzSIOOGu8wwI,0.0277,0.92,165726,0.833,0,0.0596,-3.18,1,0.253,141.034,4,0.645
28,1,3ZCTVFBt2Brf31RLEnCkWJ,0.902,0.704,245426,0.225,0.657,0.106,-14.454,0,0.0994,120.006,4,0.243
29,1,6AyWdCtEn1DdxjnxPeojR2,0.0345,0.807,173061,0.678,0,0.0986,-3.244,0,0.177,147.004,4,0.21
30,1,3tDqEKKUs6gf8zMvSuLyLA,0.048,0.892,214215,0.486,0,0.146,-8.637,0,0.384,120.998,4,0.535
31,1,6Ozh9Ok6h4Oi1wUSLtBseN,0.189,0.769,159715,0.787,0,0.129,-3.909,1,0.367,126.77,4,0.836
32,1,1iSqfoUFnQwV0QW1EfUit8,0.334,0.735,222997,0.369,0,0.126,-9.682,0,0.0688,140.004,4,0.235
33,1,5f4Hy5mw5SRaUgXX9c6P5S,0.0169,0.827,205760,0.552,0,0.122,-7.571,0,0.274,124.011,4,0.408
34,1,75pQqzwgCjUOSSy5CpmAjy,0.0475,0.882,160638,0.612,5.07E-06,0.182,-6.103,1,0.118,147.982,4,0.742
35,1,2nC3QhMI9reBIOWutbU3Tj,0.587,0.572,201084,0.406,4.48E-06,0.102,-8.624,1,0.0427,119.812,4,0.265
36,1,7lidXGPXPYLNThITAOTlkK,0.143,0.591,205473,0.585,0,0.109,-6.35,1,0.0277,110.94,4,0.324
37,1,7eJMfftS33KTjuF7lTsMCx,0.731,0.726,173333,0.431,0,0.696,-8.765,0,0.135,144.026,4,0.348
38,1,0SqqAgdovOE24BzxIClpjw,0.021,0.86,172127,0.758,6.54E-05,0.344,-5.16,1,0.0695,97.014,4,0.453
39,1,73SpzrcaHk0RQPFP73vqVR,0.917,0.38,242265,0.219,0.0104,0.0827,-13.273,0,0.0358,73.537,4,0.0517
40,1,2DEZmgHKAvm41k4J3R2E9Y,0.0103,0.607,295177,0.829,0,0.107,-4.074,1,0.379,96.172,4,0.685
41,1,6Gg1gjgKi2AK4e0qzsR7sd,0.0687,0.474,189323,0.631,0,0.132,-5.884,0,0.343,180.051,4,0.425
42,1,0RiRZpuVRbi7oqRdSMwhQY,0.533,0.755,157560,0.522,0,0.0685,-4.368,1,0.0575,89.96,4,0.925
43,1,3jT2LKH0RSbQ8jIUNFzXm5,0.0317,0.883,232065,0.808,0,0.207,-3.158,0,0.183,119.012,4,0.805
44,1,733c1CWmIGymoQXdp7Us88,0.517,0.819,188563,0.654,0,0.0996,-6.665,0,0.136,133.503,4,0.455
45,1,2FvD20Z8aoWIePi7PoN8sG,0.0794,0.816,136366,0.582,5.84E-06,0.0916,-4.141,1,0.341,160.004,4,0.542
46,1,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,182161,0.405,0,0.105,-5.679,1,0.0319,109.891,4,0.446
47,1,7aiClxsDWFRQ0Kzk5KI5ku,0.128,0.778,185093,0.559,0,0.399,-7.109,0,0.0776,129.989,1,0.678
48,1,2ZlCGeK30BLRNSPC832pNZ,0.538,0.825,219933,0.483,1.48E-05,0.204,-5.746,0,0.08,139.98,4,0.892
49,1,3yOlyBJuViE2YSGn3nVE1K,0.018,0.724,170746,0.491,1.29E-05,0.0887,-6.024,1,0.0296,105.046,4,0.383
50,1,4j4w4CXm6BSr0s25wAWrrX,0.31,0.737,196500,0.766,6.63E-06,0.114,-4.242,0,0.0458,93.956,4,0.662
51,1,7sOfmPd18RWp3FoCzpa7Kw,0.117,0.71,159282,0.81,0.000132,0.154,-5.507,1,0.0854,92.041,4,0.184
52,1,6gi6y1xwmVszDWkUqab1qw,0.0104,0.802,157712,0.591,0,0.196,-4.895,1,0.225,139.864,4,0.309
53,1,6U0FIYXCQ3TGrk4tFpLrEA,0.449,0.453,204533,0.538,0,0.19,-8.212,1,0.0638,122.973,4,0.516
54,1,6ap9lSRJ0iLriGLqoJ44cq,0.042,0.686,112493,0.541,0,0.0675,-4.993,0,0.0493,120.082,4,0.724
55,1,5kqNIqFjijuzvVLhuY9B8j,0.2,0.762,136893,0.801,7.04E-05,0.254,-3.661,0,0.0409,93.992,4,0.81
56,1,16wAOAZ2OkqoIDN7TpChjR,0.345,0.676,208520,0.506,0,0.118,-6.652,0,0.0958,145.842,4,0.497
57,1,2Ec33AVlkTTq8BHFgBTdQs,0.0327,0.881,198913,0.457,0,0.231,-8.191,0,0.156,136.97,4,0.296
58,1,285pBltuF7vW8TeWk8hdRR,0.349,0.511,239836,0.566,0,0.34,-7.23,0,0.2,83.903,4,0.218
59,1,2wrJq5XKLnmhRXHIAf9xBa,0.153,0.654,167693,0.63,0,0.111,-4.644,1,0.0259,89.991,4,0.43
60,1,53v2u51nq3CxiKUNphRzP1,0.0832,0.802,167975,0.787,0,0.153,-6.181,0,0.0599,94.026,4,0.446
61,1,4NqQaovM14WR2hNPMFxgjb,0.092,0.761,243276,0.732,0,0.0716,-5.469,0,0.0549,151.982,4,0.542
62,1,3eekarcy7kvN4yt5ZFzltW,0.0546,0.598,175721,0.427,5.83E-06,0.21,-8.764,0,0.0317,76.469,4,0.0605
63,1,4saHEjXw7O1NXJOzBkUKKG,0.0732,0.81,227939,0.854,0,0.123,-3.999,0,0.254,154.083,4,0.879
64,1,4r9jkMEnArtWGH2rL2FZl0,0.169,0.86,175918,0.791,0.000106,0.106,-4.784,1,0.0568,92.023,4,0.887
65,1,463PQggkmk5tTw8ug0ahOX,0.00277,0.76,188187,0.607,0,0.132,-6.274,1,0.0964,105.979,4,0.709
66,1,4iiWcajF1fEUpwcUewc464,0.107,0.81,315346,0.566,0,0.122,-8.33,1,0.433,142.069,4,0.582
67,1,6Hj9jySrnFppAI0sEMCZpJ,0.328,0.685,240051,0.692,0,0.153,-5.122,1,0.0457,159.966,5,0.578
68,1,2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,194088,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562
69,1,7k4t7uLgtOxPwTpFmtJNTY,0.295,0.803,200960,0.715,0.000134,0.0574,-3.28,1,0.298,101.085,4,0.574
70,1,0fySG6A6qLE8IvDpayb5bM,0.113,0.768,144935,0.652,0,0.107,-2.708,0,0.307,154.187,4,0.777
71,1,0Q2n5yzl2XRqYbV77tZNYp,0.0408,0.907,150115,0.539,0,0.253,-7.782,1,0.36,124.918,4,0.664
72,1,5J7teKIJGtqVypgYI6sqXj,0.132,0.55,232496,0.598,2.58E-06,0.0955,-5.402,0,0.0831,83.836,4,0.543
73,1,2ZTYlnhhV1UAReg7wIGolx,0.832,0.483,193795,0.361,4.66E-06,0.098,-7.889,1,0.0738,171.649,4,0.307
74,1,57vxBYXtHMk6H1aD29V7PU,0.00632,0.531,200080,0.75,7.60E-05,0.117,-5.831,0,0.111,169.954,4,0.198
75,1,3VyjsVV24RmBIbWJAeUJNu,0.519,0.651,154424,0.631,0.000579,0.165,-5.717,0,0.0896,127.994,4,0.35
76,1,2gwkD6igEhQbDQegRCcdoB,0.0608,0.876,163320,0.662,0,0.127,-6.482,0,0.426,75.445,4,0.844
77,1,2b8fOow8UzyDFAE27YhOZM,0.837,0.764,189486,0.32,0,0.0822,-7.209,1,0.0546,91.019,4,0.575
78,1,7ge7BHazYbVKi8qyZUX1Bm,0.0286,0.585,197530,0.641,0,0.316,-4.269,0,0.133,88.284,4,0.266
79,1,01JMnRUs2YOK6DDpdQASGY,0.38,0.817,203438,0.513,0,0.109,-6.263,0,0.394,123.029,4,0.177
80,1,0TrPqhAMoaKUFLR7iYDokf,0.145,0.79,181436,0.694,0.00252,0.281,-7.726,0,0.0708,103.007,4,0.508
81,1,5ry2OE6R2zPQFDO85XkgRb,0.101,0.831,205427,0.502,0,0.122,-4.045,0,0.046,100.541,4,0.101
82,1,5FkoSXiJPKTNyYgALRJFhD,0.177,0.83,129882,0.564,0,0.128,-7.822,1,0.235,85.042,4,0.107
83,1,2kJwzbxV2ppxnQoYw4GLBZ,0.866,0.464,208687,0.473,0,0.109,-10.086,1,0.129,75.801,4,0.604
84,1,43zdsphuZLzwA9k4DJhU0I,0.978,0.367,196077,0.111,3.97E-05,0.0897,-14.084,1,0.0972,82.642,4,0.198
85,1,6vBdBCoOhKHiYDDOcorfNo,0.447,0.58,174960,0.653,0,0.111,-3.818,1,0.0745,150.231,4,0.175
86,1,6klLvorLoo1sxvZcjJIY8I,0.0208,0.876,148630,0.733,0,0.0999,-4.478,0,0.333,154.904,4,0.962
87,1,7xQAfvXzm3AkraOtGPWIZg,0.136,0.829,149547,0.539,1.78E-06,0.103,-7.359,0,0.208,99.96,4,0.388
88,1,0fgsKar6uBO08vzHXkTjWi,0.409,0.82,258280,0.635,0,0.244,-5.749,0,0.0772,101.024,4,0.528
89,1,6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,174000,0.816,0,0.335,-4.209,1,0.0465,95.39,4,0.557
90,1,2JvzF1RMd7lE3KmFlsyZD8,0.149,0.837,213594,0.364,0,0.271,-11.713,1,0.276,123.984,4,0.463
91,1,4VXIryQMWpIdGgYR4TrjT1,0.0769,0.671,165820,0.529,0.000335,0.0856,-7.226,1,0.307,161.989,4,0.203
92,1,20Yz5dzjdTCVjXte9KrJbi,0.177,0.681,155832,0.414,0,0.178,-6.944,0,0.223,148.03,4,0.0734
93,1,2gMXnyrvIjhVBUZwvLZDMP,0.604,0.459,215107,0.575,0,0.0885,-4.858,1,0.0573,111.881,4,0.183
94,1,2QyuXBcV1LJ2rq01KhreMF,0.118,0.583,246381,0.817,0,0.338,-5.146,0,0.0987,105.936,4,0.438
95,1,4wNIkl5XGiAACjFBlDWuSd,0.00839,0.852,180645,0.698,1.03E-06,0.0773,-7.206,1,0.0629,113.039,4,0.324
96,1,4MZSqgwlE71CWZ6qQ3gkKm,0.602,0.631,157967,0.665,1.70E-06,0.152,-7.589,0,0.229,80.353,4,0.634
97,1,1lOe9qE0vR9zwWQAOk6CoO,0.0204,0.745,131240,0.642,0,0.0658,-6.257,0,0.287,179.974,4,0.226
98,1,3HWzoMvoF3TQfYg4UPszDq,0.11,0.715,173325,0.624,0,0.123,-3.046,0,0.114,158.087,4,0.412
99,1,1ZMiCix7XSAbfAJlEZWMCp,0.839,0.567,240133,0.267,1.46E-06,0.089,-6.502,1,0.0299,110.011,4,0.0592
100,1,0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,200186,0.296,0,0.095,-10.109,0,0.0333,115.284,4,0.12
101,1,0oufSLnKQDoBFX5mgkDCgR,0.224,0.764,158421,0.394,8.71E-05,0.119,-8.559,1,0.154,92.011,4,0.471
102,1,29ZXwWOOLz9t5fa3eT3i7T,0.0388,0.932,176640,0.547,0,0.0924,-7.787,0,0.333,94.998,4,0.695
103,1,6A9wHAasMxed0firnDao1K,0.025,0.9,188607,0.846,0,0.204,-4.884,1,0.224,129.966,4,0.851
104,1,2b7rt5gCEy2p2zTp656s4U,0.00168,0.582,182000,0.488,0,0.0941,-8.208,1,0.455,80.322,4,0.309
105,1,78QR3Wp35dqAhFEc2qAGjE,0.0852,0.897,145543,0.662,0,0.534,-6.903,0,0.292,112.511,4,0.389
106,1,4MdcsdRj7i8eBm0qFjO4L4,0.44,0.71,226003,0.808,0.000773,0.0734,-6.703,0,0.0433,99.989,4,0.392
